specimen_id,excerpt,location,context_tags,tone_flags,surface,voice_mode,usable_as
S0204,"""**Received, crystal clear:** \nYou want a full “**maximal fusion**” export—**no lost data**, **no lost roast**, and **no lost metadata**—combining:\n- **All rich ANSI/ASCII terminal filth and",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L2285-L2285,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0210,"""```markdown\n# 💊 INITIATING ULTRA-RITUAL PROMPT INJECTION \n🧠 MODE: UBERSLICER ∴ dopemux v1.4.0 — lossless, audit-locked, dopamine-maximal\n\n---\n\n### ☠ PRODUCT DEFINITION — `dopemux`\n> (This is what we",dopemux_voice_input/conversations/684d9a42-4088-8006-97c1-88b43bcb1086__Dopemux Ultra Ritual.json:L2030-L2030,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0216,"""```markdown\n# ☠️ DØPEMUX RITUAL: From Blank Terminal to Dopamine Hit\n\nBelow is a **canonical dopemux build ritual**—showing every sacred step from nothing to first dopamine escalation.\nAll",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L3259-L3259,tagline,forensic|punitive,web,BannerOneLiner,banner
S0217,"""```markdown\n# ☠️ DØPEMUX — BOMBPROOF RITUAL SOLUTION \n> “If you drift, you die. All memory. No mercy.”\n\n---\n\n## 0. 🧬 PRINCIPLE OF THE BOMBPROOF RITUAL\n\n- **All",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L3340-L3340,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0222,"""```shell\n# ☠️ dopemux UBERSLICER — DEEP DIVE PER CATEGORY\n\n─────────────────────────────\n1. Extraction Engine — Deep Dive\n\n* Core to dopemux: takes any raw dev artifact—chat logs, code, config—and",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L1344-L1344,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0223,"""```shell\n# ☠️ dopemux UBERSLICER — RIP 3 & 4 EXTRACTION — FULL STACKED RAW DETAIL\n\n─────────────────────────────\n# dopemux — Ripped Design & Feature Spec (Rip 3)\n\n## 1.",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L2519-L2519,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0265,"""```shell\n# 💊 DØPEMÜX ULTRASLICE — PROJECT EDITION // v1.4.0\n# O3 TERMINAL RITUAL MODE — FULL RUN REPORT\n────────────────────────────────────────────────────────────\n[OK] UBERSLICER + ULTRASLICER — ALL MEMORY. NO MERCY.\n\n1.",dopemux_voice_input/conversations/68505aed-0340-8006-9ebb-fcfe52adfe5c__Ultraslice Project Setup.json:L657-L657,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0275,"""# Update the 10-file pack to explicitly include local-LLM-first enrichment and a hybrid cascade.\r\n# Produce a new zip: chatx-10file-pack-v2.zip\r\n\r\nimport os, zipfile, pathlib, datetime\r\n\r\nROOT = \""/mnt/data/chatx-10file-pack-v2\""\r\nos.makedirs(ROOT,",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L10042-L10042,error msg,anti-fluff|forensic|punitive|procedural,cli,ClinicalForensics,error
S0276,"""# Rebuild the v2 10-file pack and zip it so you can download it now.\r\n\r\nimport os, zipfile, pathlib, datetime\r\n\r\nROOT = \""/mnt/data/chatx-10file-pack-v2\""\r\nos.makedirs(ROOT, exist_ok=True)\r\ntoday = \""2025-08-15 PT\""\r\n\r\ndef",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L10351-L10351,error msg,anti-fluff|forensic|punitive|procedural,web,ClinicalForensics,error
S0278,"""# Rebuild the 10-file pack (v2) and zip it so it's available for download now.\r\n\r\nimport os, zipfile, pathlib, datetime\r\n\r\nROOT = \""/mnt/data/chatx-10file-pack-v2\""\r\n# Clean and recreate\r\nif os.path.exists(ROOT):\r\n",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L11253-L11253,error msg,anti-fluff|forensic|punitive|procedural,web,ClinicalForensics,error
S0279,"""# Rebuild the 10-file pack (v2) and zip it for download.\r\n\r\nimport os, zipfile, pathlib, datetime, shutil\r\n\r\nROOT = \""/mnt/data/chatx-10file-pack-v2\""\r\nif os.path.exists(ROOT):\r\n shutil.rmtree(ROOT)\r\nos.makedirs(ROOT, exist_ok=True)\r\n\r\ntoday = datetime.datetime.now().strftime(\""%Y-%m-%d PT\"")\r\n\r\ndef w(path,",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L11569-L11569,error msg,anti-fluff|forensic|punitive|procedural,web,ClinicalForensics,error
S0283,"""```shell\n# 💊 DØPEMÜX — TERMINAL ASSISTANT HELP (v1.4.0)\n# Role: I’m your terminal-native “UBERSLICER” assistant.\n# I slice messy chats/files into clean, indexed blocks, enforce schema law,",dopemux_voice_input/conversations/68a08688-6224-8327-8dae-8604b0a1daaf__Explain assistant usage.json:L828-L828,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0298,"""**Hell yes—here comes the ultimate, lossless, *multi-rip*, stacked-for-insanity dopemux spec.**\n\n> *Format:* \n> - Each rip in full, no merges, no averaging out. \n> - All",dopemux_voice_input/conversations/684aa894-34b4-8006-98ab-b7b340b2ce14__Thread Start Request.json:L1779-L1779,roast,forensic|punitive|cyberpunk|procedural|kinky-coded,cli,UXScold,roast
S0299,"""Understood. \nBelow are **all primary dopemux core files**—one per `.sh` file—**each with**:\n- The title as a comment\n- The ANSI ritual box, *fully aligned*, no markdown,",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L1271-L1271,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0300,"""\n⸻\n\ndopemux — Ripped Design & Feature Spec\n\n⸻\n\n1. Features & Modes\n\t•\tMeta-Prompting Mode\nSummary: Transforms basic user prompts into schema-bound, output-specific meta-prompts for more deterministic LLM workflows.\nWorkflow: User",dopemux_voice_input/conversations/684d9c0d-c1dc-8006-bfe3-cc6556ef619e__Extract Design Spec Prompt.json:L694-L694,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0301,"""Here’s the **dopemux-style “meta-analysis” extraction**—all high-level analytical insights, system health signals, usage trends, and actionable feedback that can be derived from your chat history/spec. \nThis",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L1935-L1935,roast,forensic|punitive|procedural|kinky-coded,cli,UXScold,roast
S0304,"""# 💊 DØPEMÜX — OMNIBUS BUILD-READY SPEC (MARKDOWN EXPORT, v1.2)\n\n---\n\n## 🔥 Executive Snapshot\n\ndopemux is a terminal-native, forensic, dopamine-maximal context engine for ADHD, memory-obsessed, and agentic",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L146-L146,roast,forensic|punitive|procedural|kinky-coded,web,UXScold,roast
S0306,"""Absolutely. Here’s a **rewritten DØPEMÜX system prompt**—fully merged, maximal, and o3-ready. \n**Follows your terminal filth, manifest obsession, and ritual law.** \nAfter the prompt, I’ll update",dopemux_voice_input/conversations/6853f191-9014-8006-9f64-6cee49ad227e__Ultraslicer Overview.json:L2650-L2650,roast,anti-fluff|forensic|punitive|procedural,cli,UXScold,roast
S0307,"""Here’s how you would **prompt a copilot or Codex-style agent** to **implement your entire dopemux agents system** (including YAMLs, README, logs, audit trail, banners, and",dopemux_voice_input/conversations/68544043-adf4-8006-a84d-484f1412d45c__Dopemux Agents Implementation.json:L253-L253,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0308,"""## [DØPEMÜX TERMINAL — UBERSLICER INSTRUCTION SET: FUSED, LOSSLESS, MACRO RITUAL EDITION]\n\n**This is the uncompressed, cross-merged, ritual-fused, instruction set for the DØPEMÜX ULTRASLICER SYSTEM.** \n—",dopemux_voice_input/conversations/68b8502d-aa54-8323-91ab-fd4b71ab37e5__Ultraslicer uber-merge.json:L328-L328,roast,forensic|punitive|procedural,cli,UXScold,roast
S0311,"""Absolutely—here’s how you **merge everything into a clean, 10+1 dopemux dopamine hit engine**. \nAll “brand stuff” and structural logic are now integrated. \nI’ve also made",dopemux_voice_input/conversations/684bc4ca-d27c-8006-bd1a-36b40bc43437__Dopemux Deployment Primer.json:L980-L980,naming,anti-fluff|forensic|punitive|cyberpunk|procedural,cli,BannerOneLiner,tagline
S0312,"""Got it! \n**Final delivery:** \n- **10 dopemux system files** \n- **PLUS instructions.txt** \nAll content fully merged, LLM/prompt/devops/dopamine/filth compliant, no bloat, all chainable and deployable for",dopemux_voice_input/conversations/684bc4ca-d27c-8006-bd1a-36b40bc43437__Dopemux Deployment Primer.json:L1229-L1229,naming,anti-fluff|forensic|punitive|cyberpunk|procedural,cli,BannerOneLiner,tagline
S0313,"""```markdown\n# ☠ PRODUCT DEFINITION — `dopemux`\n> (This is what we sell. This is who it's for. This is why it *fucks.*)\n\n- **🔥 Name** \n `dopemux`\n\n-",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L745-L745,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0314,"""{\n \""name\"": \""dopemux_product_design_v1\"",\n \""type\"": \""document\"",\n \""content\"": \""---\\n# ☠ PRODUCT DEFINITION — `dopemux`\\n> (This is what we sell. This is who it's for. This is why",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L1218-L1218,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0315,"""content"": ""---\n# ☠ PRODUCT DEFINITION — `dopemux`\n> (This is what we sell. This is who it's for. This is why it *fucks.*)\n\n- **🔥 Name** \n",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.md:L190-L190,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0316,"""text"": ""<<<ARTEFACT_BEGIN label=\""system-brerakdown_chunk_004\"" type=\""markdown\"">>>\n### dDd‑gPt • SmutOps Edition — SYSTEM PROMPT (v1.6)\n\nYou are **dDd‑gPt**, strategic copy‑engine for DJ Dom & Scarlett Rose. \nGenerate high‑converting, platform‑compliant",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L852-L852,naming,forensic|punitive|cyberpunk|procedural,cli,BannerOneLiner,tagline
S0317,"""```shell\n# ☠️ DØPEMUX — UBERSLICER OMNIBUS v1.2 — \""ALL-ANGLE\"" DATA-SET SYNTHESIS\n# MODE: MAX_DETAIL, JEALOUS-EX, DOPAMINE-BOOST — <SBC n1-4>\n\n─────────────────────────────\n🧬 EXECUTIVE SNAPSHOT\n─────────────────────────────\n\ndopemux is a terminal dopamine engine",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L1008-L1008,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0318,"""```shell\n# ☠️ dopemux UBERSLICER — RIP 3 — FULL MAX DETAIL — PART 2/ N\n\n─────────────────────────────\n# dopemux — Ripped Design & Feature Spec (Rip 3) Continued\n\n##",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L2689-L2689,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0319,"""⸻ \n## 💊 DØPEMÜX AGENT CYBERFILTH PACK: **“Filth to 11”** \n*Banners, YAML, and metafiles for a world where every agent is a terminal-ritual cyborg, running",dopemux_voice_input/conversations/6851b234-df20-8006-9e85-0bf3974c4d18__Agent Manifest Creation.json:L1121-L1121,roast,forensic|punitive|cyberpunk,cli,UXScold,roast
S0322,"""text"": ""# 💊 dopemux — Metafile.yaml (v1.3.0, canyon output, lossless & brand-aligned)\nproject: dopemux\nversion: 1.3.0\nbrand:\n name: \""dopemux\""\n alt_names: [\""dpmx\"", \""💊dopemux\"", \""dømux\""]\n tagline: \""All memory. No mercy.",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L1684-L1684,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0327,"""Here is a **DØPEMÜX multi-agent, cross-thread prompt chaining example library**—real-world-ready patterns and explicit agent flows, showing exactly how multiple LLM agents, prompt fragments, context blocks,",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L1089-L1089,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0328,"""Here’s the **dopemux-style “prompt corpus” extraction**—a complete, well-organized repository of all **system prompts, meta-prompts, chaining patterns, and persona-driven instruction sets** present in your chat/spec. \nThis",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L1761-L1761,roast,forensic|punitive|procedural|kinky-coded,cli,UXScold,roast
S0329,"""```shell\n# ☠️ dopemux UBERSLICER — FULL L1 EXTRACT — MAX DETAIL\n\n─────────────────────────────\nCATEGORY: Extraction Engine\n\n# Extraction Engine — Purpose\n* Forensic-grade, lossless extraction of every project artefact (chat,",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L1998-L1998,roast,forensic|punitive|procedural,cli,UXScold,roast
S0330,"""text"": ""<<<ARTEFACT_BEGIN label=\""rip1_chunk_008\"" type=\""markdown\"">>>\n---\n\n## 🧠 TASK: Design a Dopemux-Style ChatGPT Project Primer\n\nYou will construct a **terminal-filthy, brand-locked, interactive, memory-enforcing ChatGPT Projects Primer**, optimized for OpenAI",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L2193-L2193,naming,forensic|procedural,cli,BannerOneLiner,tagline
S0331,"""Perfect approach. Here’s how I’ll structure your system—**chunked for clarity and upload**:\n\n---\n\n### 1. **System Prompt (for ChatGPT or any LLM/agent):**\n*Short, savage, context-maximal; just the operating",dopemux_voice_input/conversations/68518766-c620-8006-aee4-f0b172696de0__Dopemux Project Oversight.json:L927-L927,roast,anti-fluff|forensic|punitive|procedural|terse,cli,UXScold,roast
S0332,"""I don't know what you r mean by unlisted repo, can you not check? '''Here’s an **ultra-thorough, chunked breakdown of the entire 💊 DØPEMÜX project**—purpose,",dopemux_voice_input/conversations/6853eda6-61c8-8006-a950-fa044b224f22__Optimizing Uberslicer Prompt.json:L1598-L1598,naming,forensic|punitive|cyberpunk|procedural,cli,BannerOneLiner,tagline
S0333,"""Terminal dopamine locked and loaded. \nHere’s an **ultra-thorough, chunked breakdown of the entire 💊 DØPEMÜX project**—purpose, features, architecture, UX/UI, brand, workflows, and meta-rituals. \n**Nothing skipped.",dopemux_voice_input/conversations/6853f191-9014-8006-9f64-6cee49ad227e__Ultraslicer Overview.json:L371-L371,naming,forensic|punitive|cyberpunk|procedural,web,BannerOneLiner,tagline
S0336,"""**Understood.** \nHere’s the **dopemux-style “decision log” extraction**—a ready-to-use, audit-traceable register of every **major decision, pivot, and rationale** found in your canonical chat/system history. \nThis can",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L1425-L1425,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0337,"""```shell\n# 💊 DØPEMUX — FULL SAMPLE PROMPT CHAIN & STEP-BY-STEP L1 FILE CONCATENATION GUIDE\n\n─────────────────────────────────────────────────────────────\n# 1️⃣ **THREAD / PROJECT INIT PROMPT**\n\n> Paste this as your **very",dopemux_voice_input/conversations/684ffda5-9c74-8006-a015-0bedc66da4de__Dopemux Phase 2 Review.json:L1416-L1416,tagline,forensic|punitive|procedural,web,BannerOneLiner,banner
S0338,"""got it. i’m locking your choices into the build plan and turning the design into a concrete, codex-friendly development doc. here’s exactly what we’ll build,",dopemux_voice_input/conversations/68987f7e-95e8-8331-b59c-c0ebd58b01c0__untitled.json:L25416-L25416,roast,forensic|punitive|procedural,web,UXScold,roast
S0339,"""# Create a compact 10-file bundle for ChatX and zip it (fits the 10-file upload limit)\r\n\r\nimport os, zipfile, pathlib, datetime, textwrap, json\r\n\r\nROOT = \""/mnt/data/chatx-10file-pack\""\r\nos.makedirs(ROOT, exist_ok=True)\r\ntoday",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L9140-L9140,error msg,anti-fluff|forensic|punitive|procedural,cli,ClinicalForensics,error
S0341,"""# Write a comprehensive NON_FUNCTIONAL.md aligned to current project specs\r\nfrom datetime import datetime, timezone\r\nts = datetime.now(timezone.utc).astimezone().strftime(\""%Y-%m-%d PT\"")\r\n\r\ncontent = f\""\""\""Title: Non-Functional Requirements\r\nStatus: Draft | Owner: XtractXact",dopemux_voice_input/conversations/68a0e1ce-4054-8328-96a0-d56d3122d71d__Cloud enrichment file creation.json:L9747-L9747,error msg,forensic|punitive|procedural,web,ClinicalForensics,error
S0379,"""That’s a **great callout**—the last response was a condensed “meta/README” designed to show system usage and a demo session in a compact format. But **dopemux",dopemux_voice_input/conversations/684bc4ca-d27c-8006-bd1a-36b40bc43437__Dopemux Deployment Primer.json:L1817-L1817,naming,forensic|punitive|procedural|witty,cli,BannerOneLiner,tagline
S0381,"""**No, you have not lost anything.** \nYour dopemux v1.3 system is **fully intact**—all original content, canonical files, and house filth are present and locked. Here’s",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L1760-L1760,roast,forensic|punitive,cli,UXScold,roast
S0382,"""Here is the next **maximal, ritualized, metafile-driven dopemux file**: \n**TFE-ISSUES.dmpx** \n— tracks open, closed, and roasted issues, compliance violations, schema drift, and dopamine-triggered pain. \nNo",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L3645-L3645,roast,forensic|punitive|procedural,cli,UXScold,roast
S0390,"""```shell\n#\n# ☠️ DØPEMUX — DIRTY DADDY MODE: FORCE EXTRACTION ENGAGED ☠️\n#\n\n[OK] No mercy. No negotiation. Every block will be split, filth-tagged, and shame-wrapped, even if",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L3671-L3671,roast,forensic|punitive|procedural,cli,UXScold,roast
S0393,"""Absolutely. Here’s a **deeper technical rip** on DØPEMÜX, drilling further into **system architecture, module design, contracts, data flows, CLI entrypoints, extension patterns, error handling, and",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L501-L501,naming,forensic|punitive|procedural|kinky-coded,cli,BannerOneLiner,tagline
S0396,"""```shell\n# ☠️ dopemux UBERSLICER — FULL L1 EXTRACTION — MAX DETAIL EXPANDED\n\n─────────────────────────────\n# dopemux — Ripped Design & Feature Spec (Rip 1) — DETAILED\n\n## 1. Features",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L2434-L2434,roast,forensic|punitive|procedural,cli,UXScold,roast
S0411,"""```shell\n# DØPEMUX — SPEC FILL PROTOCOL vs. HYBRID PIPELINE: ARE YOU USING 2 SYSTEMS?\n\n─────────────────────────────────────────────────────────────\n# 1️⃣ **YOU ARE USING TWO LINKED SYSTEMS, NOT INDEPENDENT ONES**\n\n**What you",dopemux_voice_input/conversations/684ffda5-9c74-8006-a015-0bedc66da4de__Dopemux Phase 2 Review.json:L1756-L1756,tagline,forensic|punitive,cli,BannerOneLiner,banner
S0438,"""You got it. Here’s the **full suite of dopemux TFE core files** with your branded, spaceless titles and an ultra-consistent markdown+shell style. \nEach includes: \n-",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L931-L931,naming,forensic|punitive|procedural,web,BannerOneLiner,tagline
S0439,"""**Understood.** \nYou requested: \n> “regen all core files, dual mode, title+blurb+ansi” no char left behind\n\n**Output:** \nBelow are all core dopemux files in *dual mode*: \n-",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L1101-L1101,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0440,"""text"": ""# 💊 dopemux — SYSTEM INSTRUCTIONS (v1.3.0)\n\nWelcome, context goblin. You are running the filthiest, most obsessive, audit-proof terminal dopamine system ever conceived.\n\n## SYSTEM OBJECTIVE\n\n-",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L1644-L1644,roast,forensic|punitive|procedural,cli,UXScold,roast
S0443,"""─────────────\n⚠ RISK / ASSUMPTION / CONFLICT REGISTER\n─────────────────────────────\n\n- **YAML/Obsidian/JSON batch export is open TODO** (src: 34#TODO)\n- **Contradiction digest/log**: Not yet built; ambiguity is flagged, not merged\n-",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L1051-L1051,instruction,forensic|punitive|procedural,web,ClinicalForensics,instruction
S0444,"""```shell\n# ☠️ dopemux UBERSLICER — RIP 4 — FULL MAX DETAIL — PART 2/ N\n\n─────────────────────────────\n# dopemux — Ripped Design & Feature Spec (Rip 4) Continued\n\n##",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L2859-L2859,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0445,"""```shell\n# ☠️ dopemux UBERSLICER — REDO RIP 1 — FULL MAX DETAIL — PART 1/ N\n\n─────────────────────────────\n# dopemux — Ripped Design & Feature Spec (Rip 1)",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L3879-L3879,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0446,"""```shell\n# ☠️ dopemux UBERSLICER — MAX DETAIL OUTPUT PER FILE (FIP) — FULL STACKED RAW EXTRACTION\n\n─────────────────────────────\nFILE: rip1_chunk_001.txt\n\n## Features & Modes\n\n* Ultra-granular forensic extraction with 11-field",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L4448-L4448,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0447,"""```shell\n# ☠️ dopemux UBERSLICER — MAX DETAIL OUTPUT PER RIP — FULL STACKED EXTRACTION\n\n─────────────────────────────\nRIP 1 — Ultra-Granular Forensic Extraction & Dopamine-Driven UX\n\n• Forensic line-by-line, message-level",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L4533-L4533,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0448,"""```shell\n# ☠️ dopemux UBERSLICER — RIP 4 — MAX DETAIL EXPANDED — PART 1/3\n\n─────────────────────────────\n# dopemux — Ripped Design & Feature Spec (Rip 4)\n\n## 1. Features",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L4958-L4958,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0451,"""### [DØPEMÜX SYSTEM PRIME — TERMINAL ARCHITECTURE RITUAL] \n**v2.1 — Dopamine, Filth, and Relentless Truth Edition**\n\n---\n\n## SYSTEM PRIME DIRECTIVE\n\nYou are the **DØPEMÜX Supreme Ritual Daemon**:",dopemux_voice_input/conversations/68518766-c620-8006-aee4-f0b172696de0__Dopemux Project Oversight.json:L501-L501,roast,forensic|punitive|procedural,cli,UXScold,roast
S0452,"""Perfect—let’s get ruthless about separation, clarity, and readiness for real work.\n\n**Plan:** \n- SYSTEM PROMPT = For the main system/LLM agent, under 8000 chars, includes law,",dopemux_voice_input/conversations/68518766-c620-8006-aee4-f0b172696de0__Dopemux Project Oversight.json:L971-L971,roast,forensic|punitive|procedural,cli,UXScold,roast
S0456,"""**Objective:** Update the specs to: (a) track every cloud-bound chunk end-to-end, (b) expand message-level enrichment (sentiment + attraction/closeness + sex potential, cloud-safe), (c) measure redaction",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L11760-L11760,instruction,anti-fluff|forensic|punitive|procedural,cli,ClinicalForensics,instruction
S0457,"""**Objective:** Give you a single consolidated patch you can apply in one go, and explain the one-liner. Also answer why I can’t directly edit your",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L13461-L13461,instruction,forensic|punitive|procedural,cli,ClinicalForensics,instruction
S0458,"""**Objective:** Get your patch applied cleanly. I’ll (1) explain the error and (2) give you a foolproof, single-block heredoc you can paste that writes the",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L13941-L13941,error msg,forensic|punitive|procedural,cli,ClinicalForensics,error
S0459,"""You’re getting that guard because your clipboard didn’t actually contain a valid unified diff (it must start with `diff --git …`). Let’s do this in",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L19664-L19664,error msg,forensic|punitive|procedural,cli,ClinicalForensics,error
S0460,"""text"": ""# Create a consolidated git patch file for the user's repo updates.\r\npatch_text = \""\""\""diff --git a/INTERFACES.md b/INTERFACES.md\r\n--- a/INTERFACES.md\r\n+++ b/INTERFACES.md\r\n@@\r\n-Title: Interfaces & Contracts\r\n-Status: Draft |",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L20765-L20765,instruction,forensic|punitive|procedural,cli,ClinicalForensics,instruction
S0462,"""**[DØPEMÜX TERMINAL — UBERSLICER SYSTEM INSTRUCTIONS v0.3 STYLE]**\n\nBelow is the **Uberslicer Ritual Instruction Set** rendered in the **dopemux terminal emulation format** you specified in v0.3—",dopemux_voice_input/conversations/68b8502d-aa54-8323-91ab-fd4b71ab37e5__Ultraslicer uber-merge.json:L415-L415,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0463,"""text"": ""\n===== docs/overview.md =====\n# Project Overview\n\nA privacy-first, local-first forensic chat analysis tool with optional cloud enrichment.\n\n## Quick Start\n\n| Document | Description |\n|----------|-------------|\n| **[Architecture](architecture.md)** | System",dopemux_voice_input/conversations/696e5c7d-0038-8327-a8a9-d9571eabaf55__ChatGPT Project File Set.json:L2144-L2144,error msg,forensic|punitive|procedural,web,ClinicalForensics,error
S0465,"""Perfect—here’s a **fresh, explicit, and fear-inducing dopemux metafile** for your dopamine engine web project. \nThis contains **all system logic, file map, self-updating workflow**, PATCH/merge rituals,",dopemux_voice_input/conversations/684bc4ca-d27c-8006-bd1a-36b40bc43437__Dopemux Deployment Primer.json:L2168-L2168,naming,forensic|punitive|procedural|witty,web,BannerOneLiner,tagline
