component_id	name	subsystem_id	container_name	purpose	public_interfaces	data_owned	dependencies	tech	stack	repo	owner	slo_availability	slo_latency	sli_metrics	alerts	security_notes	threat_model_refs	adr_ids	rfc_ids	source_uri	source_lines	created_at	updated_at	tags
COMP-sensitive-content-de	Sensitive Content Detection	SUB-SENSITIVE-CONTE		"```python
class SensitiveContentFilter:
    """"""Remove or mask sensitive information""""""

    SENSITIVE_PATTERNS = [
        # API keys and secrets
        r'[A-Za-z0-9]{32,}',  # Long random strings
  "	"keys and secrets; _key|secret|token|password)\s*[=:]\s*[""\']?([^""\'\s]+)',"			python			Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/94-architecture/09-decisions/adr-0011-privacy-first-ai.md	1-64	2025-10-02T03:01:42.647299	2025-10-02T03:01:42.647300	api
COMP-consent-management	Consent Management	SUB-MEMORY-SYSTEM-I		"```python
class UserConsentManager:
    """"""Manage explicit user consent for privacy levels""""""

    def request_consent_for_cloud_processing(self):
        """"""Interactive consent request""""""

        co"	"keys or credentials"","			python		rt(self):	Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/94-architecture/09-decisions/adr-0011-privacy-first-ai.md	1-37	2025-10-02T03:01:42.649210	2025-10-02T03:01:42.649211	api
COMP-batch-processing-opt	Batch Processing Optimization	SUB-ADVANCED-OPTIMI		"```python
class BatchEmbeddingProcessor:
    """"""Process embeddings in batches for efficiency.""""""

    def __init__(self, batch_size: int = 32):
        self.batch_size = batch_size
        self.pendin"	call to embedding model			python			Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0050-custom-embedding-pipeline.md	1-49	2025-10-02T03:01:42.661745	2025-10-02T03:01:42.661747	api
COMP-requirements-analysi	Requirements Analysis	SUB-PROJECT-MEMORY-		"- **Immediate reliability**: Must work without MCP transport complexity
- **ADHD accommodations**: Context preservation, decision logging, progress tracking
- **Future compatibility**: Maintain path t"	access for minimal latency						Engineering Team	99.9%	P50<50ms; P99<300ms	latency						docs/94-architecture/09-decisions/adr-0506-conport-hybrid-architecture.md	1-6	2025-10-02T03:01:42.664322	2025-10-02T03:01:42.664323	performance|api
COMP-architecture-overvie	Architecture Overview	SUB-FOR-TWO-PLANE-A		"```
┌─────────────────────┐    ┌─────────────────────┐    ┌─────────────────────┐
│ ADHD Workflow       │───▶│ ConPort HTTP Client │───▶│ ConPort Direct API  │
│ - Context queries   │    │ (immediate "	│						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0506-conport-hybrid-architecture.md	1-15	2025-10-02T03:01:42.665105	2025-10-02T03:01:42.665106	api
COMP-phase-1-direct-http-	Phase 1: Direct HTTP Server (Implemented ✅)	SUB-ALTERNATIVE-1-C		"**Created**: `/docker/mcp-servers/conport/direct_server.py`
- **Direct HTTP API**: Bypasses mcp-proxy complexity entirely
- **ADHD-optimized endpoints**: Context, decisions, progress tracking
- **Heal"	**: Bypasses mcp-proxy complexity entirely; /context/{workspace_id}  - Get current context; /context/{workspace_id}  - Update context						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0506-conport-hybrid-architecture.md	1-19	2025-10-02T03:01:42.665758	2025-10-02T03:01:42.665760	api
COMP-phase-2-client-integ	Phase 2: Client Integration (Implemented ✅)	SUB-TIER-2-SPECIALI		"**Created**: `/src/dopemux/tools/conport_client.py`
- **ConPortClient class**: Direct HTTP access to all ADHD features
- **Async support**: Non-blocking API calls for responsive workflow
- **Error han"	calls for responsive workflow			python			Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0506-conport-hybrid-architecture.md	1-9	2025-10-02T03:01:42.666154	2025-10-02T03:01:42.666156	api
COMP-context-retrieval-15	Context retrieval: ~15ms	SUB-SECTION-3-CONTE		"curl -w ""@response-time"" http://localhost:3004/api/context/workspace"	/context/workspace						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0506-conport-hybrid-architecture.md	1-2	2025-10-02T03:01:42.667225	2025-10-02T03:01:42.667226	api
COMP-decision-logging-25m	Decision logging: ~25ms	SUB-DECISION		"curl -X POST -w ""@response-time"" http://localhost:3004/api/decisions
```"	/decisions						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0506-conport-hybrid-architecture.md	1-3	2025-10-02T03:01:42.667322	2025-10-02T03:01:42.667323	api
COMP-send-to-capture-daem	Send to capture daemon (non-blocking)			"{
  curl -X POST http://localhost:3010/api/capture/git-commit \
    -H ""Content-Type: application/json"" \
    -d @- <<PAYLOAD
{
  ""event_type"": ""git_commit"",
  ""timestamp"": ""$TIMESTAMP"",
  ""data"": {
 "	/capture/git-commit \				echo	""":"	Engineering Team	99.9%	P50<50ms; P99<300ms	MS						docs/94-architecture/09-decisions/adr-0051-zero-effort-capture.md	1-25	2025-10-02T03:01:42.677030	2025-10-02T03:01:42.677031	api
COMP-capture-command-resu	Capture command result and context	SUB-2-SERVICE-LOOKU		"dopemux_precmd() {
  local exit_code=$?
  local end_time=$(date +%s%3N)

  if [[ -n ""$DOPEMUX_CMD_START"" ]]; then
    local duration=$((end_time - DOPEMUX_CMD_START))

    # Detect command patterns fo"	/capture/shell \			python	echo	]];	Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/94-architecture/09-decisions/adr-0051-zero-effort-capture.md	1-51	2025-10-02T03:01:42.678578	2025-10-02T03:01:42.678579	testing|api
COMP-context-switch-detec	Context switch detection via directory changes	SUB-SENSITIVE-CONTE		"DOPEMUX_LAST_DIR=""$PWD""

dopemux_detect_context_switch() {
  if [[ ""$PWD"" != ""$DOPEMUX_LAST_DIR"" ]]; then
    # Significant directory change detected
    local old_project=$(basename ""$DOPEMUX_LAST_DI"	/capture/context-switch \				echo		Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0051-zero-effort-capture.md	1-30	2025-10-02T03:01:42.679717	2025-10-02T03:01:42.679718	api
COMP-mcp-capture-middlewa	mcp-capture-middleware.py - Capture Claude interactions	SUB-12-EXA-WEB-SEAR		"import asyncio
import json
from datetime import datetime
from typing import Any, Dict, List, Optional
from uuid import uuid4


class MCPCaptureMiddleware:
    """"""Middleware to capture all MCP tool int"	"/capture/event"",; str = ""http://localhost:3010""):; = capture_endpoint"		aiohttp, json, Any, datetime, asyncio				Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/94-architecture/09-decisions/adr-0051-zero-effort-capture.md	1-257	2025-10-02T03:01:42.689164	2025-10-02T03:01:42.689165	api|architecture
COMP-privacy-filter-py-fi	privacy-filter.py - Filter sensitive information before storage	SUB-SENSITIVE-CONTE		"import re
from typing import Any, Dict, List, Optional


class PrivacyFilter:
    """"""Filter sensitive information from captured data.""""""

    def __init__(self):
        self.sensitive_patterns = [
  "	"Keys and Tokens; [_-]?key|token|secret|password|credential)[\s]*[=:]\s*[""\']?([A-Za-z0-9_\-/+=]{20,})[""\']?', '[REDACTED_API_KEY]'),"	Database: Connection Strings	Path, json, re, os, Any		echo	HUB|GOOGLE)_[A-Z_]+=[^\s]+',	Engineering Team	99.9%	P50<50ms; P99<300ms	ms		JWT				docs/94-architecture/09-decisions/adr-0051-zero-effort-capture.md	1-192	2025-10-02T03:01:42.694805	2025-10-02T03:01:42.694806	database|api|security
COMP-conport-capabilities	ConPort Capabilities Analysis	SUB-DATA-ORGANIZATI		"ConPort (Context Porter) provides:
- **Project-scoped memory**: Isolated context per project
- **Decision tracking**: Formal recording of choices and rationale
- **Pattern storage**: Reusable code and"	**: Intelligent retrieval of relevant project context						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0505-conport-integration.md	1-8	2025-10-02T03:01:42.702024	2025-10-02T03:01:42.702025	
COMP-store-successful-imp	Store successful implementation patterns	SUB-QUERY-EXISTING-		"conport.store_pattern(
    name=""api_error_handling"",
    code=implementation_code,
    rationale=""Provides consistent error responses across all endpoints"",
    tags=[""error-handling"", ""api"", ""consis"	"_error_handling"",; "", ""consistency""]; s"","						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0505-conport-integration.md	1-8	2025-10-02T03:01:42.703101	2025-10-02T03:01:42.703102	api
COMP-new-node-types-13-ad	New Node Types (13 Additional)	SUB-QUERY-EXISTING-		"```json
{
  ""symbol"": ""Functions, variables, constants in code"",
  ""function"": ""Function definitions with signatures"",
  ""class"": ""Class definitions with inheritance"",
  ""module"": ""Code modules and pa"	"endpoints and interfaces"",; s"",; "": ""API endpoints and interfaces"","						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0049-enhanced-graph-schema.md	1-18	2025-10-02T03:01:42.705264	2025-10-02T03:01:42.705266	api|architecture
COMP-existing-edge-types-	Existing Edge Types (Preserved)	SUB-QUERY-EXISTING-		"```json
{
  ""affects"": ""Source influences target"",
  ""depends_on"": ""Source requires target"",
  ""implements"": ""Source implements target interface"",
  ""discussed_in"": ""Target was discussed in source"",
 "	""","		"target"""				Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0049-enhanced-graph-schema.md	1-11	2025-10-02T03:01:42.705595	2025-10-02T03:01:42.705596	
COMP-medium-term-evolutio	Medium-term Evolution (Phase 2-3)			"4. **Unified search interface**: Single API for code + docs queries
5. **Semantic caching**: Redis cache for stable queries (cosine ≥0.82, 24h TTL)
6. **ConPort scaling**: Migrate from SQLite to Postg"	for code + docs queries; **: Single API for code + docs queries	table: queries (cosine ≥0.82, 24h TTL)					Engineering Team	99.9%	P50<50ms; P99<300ms							docs/94-architecture/09-decisions/adr-0013-rag-search-architecture.md	1-4	2025-10-02T03:01:42.711137	2025-10-02T03:01:42.711138	database|api
COMP-performance-metrics	Performance Metrics	SUB-SUCCESS-METRICS		"- **Accuracy**: nDCG@10, MRR improvements vs baseline
- **Latency**: p95 <200ms code search, <1200ms doc search with rerank
- **Cost**: Monthly embedding/rerank API spend within budget"	spend within budget						Engineering Team	99.9%	P50<50ms; P99<300ms	ms, p95, Latency						docs/94-architecture/09-decisions/adr-0013-rag-search-architecture.md	1-4	2025-10-02T03:01:42.712090	2025-10-02T03:01:42.712091	performance|api
COMP-src-conport-tools-en	src/conport/tools/enhanced_tools.py			"from mcp import types
from typing import List, Dict, Any

class EnhancedMemoryTools:
    """"""Extended MCP tools for 20 node types.""""""

    def __init__(self):
        self.valid_node_types = {
        "	', 'service', 'config'	"collection: =f""{node_type}s"","	List, types				Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-memory-hub-implementation.md	1-94	2025-10-02T03:01:42.721450	2025-10-02T03:01:42.721451	
COMP-src-dopemux-capture-	src/dopemux/capture/privacy.py			"import re
from typing import Dict, List, Optional

class PrivacyFilter:
    """"""Filter sensitive information before storage.""""""

    def __init__(self):
        self.patterns = self.load_privacy_patter"	"[_-]?key|token|secret)[\s]*[=:]\s*[""\']?([A-Za-z0-9_\-/+=]{20,})', '[REDACTED_KEY]'),"		re, Dict				Engineering Team	99.9%	P50<50ms; P99<300ms			JWT				docs/92-runbooks/runbook-memory-hub-implementation.md	1-37	2025-10-02T03:01:42.726716	2025-10-02T03:01:42.726717	api
COMP-privacy-protection	Privacy Protection			"Your sensitive data is always protected:
- Automatic redaction of API keys and secrets
- Local-only processing (no cloud dependencies)
- Configurable privacy rules"	keys and secrets		)				Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-memory-hub-implementation.md	1-5	2025-10-02T03:01:42.730641	2025-10-02T03:01:42.730642	api
COMP-expected-3-6-servers	Expected: 3/6 servers showing ✓ Connected	SUB-TIER-2-SPECIALI		"```

**Working Servers** (Ready for immediate use):
- 🟢 **conport**: ADHD session memory (✅ FIXED Sept 26, 2025)
- 🟢 **context7**: Documentation & libraries
- 🟢 **zen-mcp**: Multi-model reasoning
- 🟢 "	missing						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-mcp-system-integration.md	1-18	2025-10-02T03:01:42.732178	2025-10-02T03:01:42.732179	
COMP-issue-health-check-t	"Issue: ""Health Check Timeout"""			"**Symptoms**: Container running but unhealthy
**Root Cause**: Missing `/health` endpoint
**Fix**: Add to server code:
```python
@app.route('/health')
def health():
    return {""status"": ""healthy"", ""ti"	**Fix**: Add to server code:			python			Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/92-runbooks/runbook-mcp-system-integration.md	1-9	2025-10-02T03:01:42.733200	2025-10-02T03:01:42.733202	
COMP-related-documentatio	📚 Related Documentation	SUB-ARC42-DOCUMENTA		"- **Setup Guide**: `docs/03-reference/METAMCP_INTEGRATION_GUIDE.md`
- **Architecture**: `docs/94-architecture/runtime-view.md`
- **API Reference**: `docs/03-reference/mcp/`
- **Troubleshooting**: `doc"	Reference**: `docs/03-reference/mcp/`						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-mcp-system-integration.md	1-8	2025-10-02T03:01:42.734091	2025-10-02T03:01:42.734093	api|architecture
COMP-runbook-metadata	📝 Runbook Metadata			"**Validation Status**: ✅ Tested on 2025-09-24
**Dependencies**: Docker, Claude Code, Python 3.10+
**Recovery Time Objective**: < 15 minutes
**Review Frequency**: Monthly
**Owner**: MCP Integration Tea"	fixes, full integration		**: Docker, Claude Code, Python 3.10+	Python			Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-mcp-system-integration.md	1-10	2025-10-02T03:01:42.734369	2025-10-02T03:01:42.734370	
COMP-test-each-server-s-h	Test each server's health endpoint	SUB-AGENT-NODES-EAC		"for port in 3003 3004 3005 3006 3007 3008 3011; do
    echo ""Testing port $port:""
    curl -s ""http://localhost:$port/health"" || echo ""Port $port not responding""
done
```

**Expected**: All ports shou"					echo		Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-mcp-http-transport-troubleshooting.md	1-8	2025-10-02T03:01:42.735740	2025-10-02T03:01:42.735741	testing
COMP-issue-failed-to-conn	"Issue: ""Failed to connect"" in Claude Code MCP list"	SUB-DATA-ORGANIZATI		"**Cause**: MetaMCP broker not running or not exposing MCP endpoint
**Solution**:
1. Ensure MetaMCP broker is running: `python start_metamcp_broker.py`
2. Configure Claude Code connection (see Integrat"	**Solution**:			python			Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-mcp-http-transport-troubleshooting.md	1-6	2025-10-02T03:01:42.736109	2025-10-02T03:01:42.736110	
COMP-conport-enhanced-ope	ConPort Enhanced Operations Runbook	SUB-DATA-ORGANIZATI		"**Service**: ConPort Enhanced Persistence Server
**Version**: 2.0.0
**Contact**: ADHD-Optimized Architecture Team
**Emergency**: Check health endpoint + logs"	+ logs						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/conport-enhanced-operations.md	1-6	2025-10-02T03:01:42.739335	2025-10-02T03:01:42.739336	architecture
COMP-test-api-response-ti	Test API response times			"echo ""Testing response times...""

time curl -s http://localhost:3004/api/context/dopemux-mvp > /dev/null"	/context/dopemux-mvp > /dev/null				echo		Engineering Team	99.9%	P50<50ms; P99<300ms	response time						docs/92-runbooks/conport-enhanced-operations.md	1-3	2025-10-02T03:01:42.740369	2025-10-02T03:01:42.740370	testing|api
COMP-expected-50ms	Expected: < 50ms			time curl -s http://localhost:3004/api/decisions?workspace_id=dopemux-mvp > /dev/null	/decisions?workspace_id=dopemux-mvp > /dev/null						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/conport-enhanced-operations.md	1-2	2025-10-02T03:01:42.740475	2025-10-02T03:01:42.740476	api
COMP-cache-performance-te	Cache performance test			"curl -s http://localhost:3004/api/context/dopemux-mvp > /dev/null  # Prime cache
time curl -s http://localhost:3004/api/context/dopemux-mvp > /dev/null"	/context/dopemux-mvp > /dev/null  # Prime cache; /context/dopemux-mvp > /dev/null						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/conport-enhanced-operations.md	1-2	2025-10-02T03:01:42.740626	2025-10-02T03:01:42.740628	api
COMP-performance-check	Performance check			"RESPONSE_TIME=$(time curl -s http://localhost:3004/api/context/dopemux-mvp > /dev/null 2>&1)
echo ""$(date): Response time - $RESPONSE_TIME""
```"	/context/dopemux-mvp > /dev/null 2>&1)				echo		Engineering Team	99.9%	P50<50ms; P99<300ms	Response time						docs/92-runbooks/conport-enhanced-operations.md	1-4	2025-10-02T03:01:42.742866	2025-10-02T03:01:42.742867	api
COMP-health-indicators	Health Indicators			"- ConPort health endpoint response time
- Database connection count
- Redis memory usage
- Auto-save loop activity"	response time	Database: connection count					Engineering Team	99.9%	P50<50ms; P99<300ms	response time						docs/92-runbooks/conport-enhanced-operations.md	1-5	2025-10-02T03:01:42.743973	2025-10-02T03:01:42.743974	database
COMP-critical-alerts	Critical Alerts	SUB-7-CRITICAL-RISK		"- ConPort health endpoint returning unhealthy
- Database connection pool exhausted
- Redis out of memory
- Container restart loop"	returning unhealthy	Database: connection pool exhausted					Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/conport-enhanced-operations.md	1-5	2025-10-02T03:01:42.744206	2025-10-02T03:01:42.744207	database
COMP-check-api-access-pat	Check API access patterns	SUB-QUERY-EXISTING-		"docker logs dopemux-mcp-conport | grep -E ""(POST|PUT|GET)"" | tail -10
```"							Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/conport-enhanced-operations.md	1-3	2025-10-02T03:01:42.745060	2025-10-02T03:01:42.745061	
COMP-verify-recovery	Verify recovery			"curl http://localhost:3004/health
curl -s http://localhost:3004/api/context/dopemux-mvp | jq '.workspace_id'
```"	/context/dopemux-mvp | jq '.workspace_id'						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/conport-enhanced-operations.md	1-4	2025-10-02T03:01:42.746315	2025-10-02T03:01:42.746316	api
COMP-normal-operation	Normal Operation			"- ✅ Health endpoint returns `""healthy""` for all connections
- ✅ API responses under 50ms (cached) / 100ms (database)
- ✅ Auto-save loop logging every 30 seconds
- ✅ No error messages in container logs"	"responses under 50ms (cached) / 100ms (database); returns `""healthy""` for all connections"	database: ), Database: queries completing successfully					Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/92-runbooks/conport-enhanced-operations.md	1-6	2025-10-02T03:01:42.746935	2025-10-02T03:01:42.746936	database|api
COMP-api-access	API access			"export LEANTIME_URL=""https://your-leantime.com""
export LEANTIME_TOKEN=""your_pat_token""
```"							Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-zero-touch-sync.md	1-4	2025-10-02T03:01:42.752896	2025-10-02T03:01:42.752900	
COMP-resolution-for-leant	Resolution for Leantime:	SUB-FOR-TWO-PLANE-A		"curl -v ""$LEANTIME_URL/api/v1/health"""	"/v1/health"""						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-zero-touch-sync.md	1-1	2025-10-02T03:01:42.753973	2025-10-02T03:01:42.753975	api
COMP-check-token-validity	Check token validity:			"curl -H ""Authorization: Bearer $LEANTIME_TOKEN"" ""$LEANTIME_URL/api/v1/user/me"""	"/v1/user/me"""						Engineering Team	99.9%	P50<50ms; P99<300ms			Authorization				docs/92-runbooks/runbook-zero-touch-sync.md	1-2	2025-10-02T03:01:42.754063	2025-10-02T03:01:42.754065	api
COMP-error-code-reference	Error Code Reference	SUB-COMPONENTS-REFE		"| Code | Meaning | Action |
|------|---------|--------|
| SYNC_001 | Leantime API unavailable | Check network, token, service status |
| SYNC_002 | Task-Master MCP error | Verify uvx installation, per"	unavailable | Check network, token, service status |						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-zero-touch-sync.md	1-9	2025-10-02T03:01:42.754678	2025-10-02T03:01:42.754679	api
COMP-integration-manageme	Integration Management (300-399)	SUB-LEANTIME-S-TECH		"- [RB-301: Leantime Integration Setup](301-leantime-setup.md) - Project management sync
- [RB-302: Claude Code Configuration](302-claude-config.md) - AI integration setup
- [RB-303: Task-Master AI Dep"	Key Rotation](304-api-key-rotation.md) - Security maintenance						Engineering Team	99.9%	P50<50ms; P99<300ms			maintenance				docs/92-runbooks/readme.md	1-6	2025-10-02T03:01:42.760166	2025-10-02T03:01:42.760167	api|security|architecture
COMP-adhd-systems-compone	ADHD Systems Component Analysis	SUB-3-AI-POWERED-TO		"**Context Manager (`src/dopemux/adhd/context_manager.py`)**:
- Test: Can it track current context state?
- Test: Does it preserve context across interruptions?
- Integration: How does it interface wit"	with session persistence?						Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/92-runbooks/runbook-extended-roadmap.md	1-16	2025-10-02T03:01:42.765999	2025-10-02T03:01:42.766000	testing
COMP-week-7-slash-command	Week 7: Slash Command Implementation	SUB-6-IMPLEMENTATIO		"**Deliverables**:
- [ ] `/work` slash command with full subcommand support
- [ ] Work item management through Claude Code interface
- [ ] Command help system and error handling
- [ ] Integration testi"	- [ ] Command help system and error handling; .py` - Claude integration						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-adhd-finishing-helpers-roadmap.md	1-15	2025-10-02T03:01:42.769650	2025-10-02T03:01:42.769651	testing|architecture
COMP-future-enhancement-r	Future Enhancement Roadmap	SUB-FUTURE-ENHANCEM		"1. **Advanced Completion Detection**: ML-based completion prediction
2. **Team Collaboration Features**: Shared completion tracking
3. **Integration Expansions**: Third-party task management systems
4"	**: Mobile app for completion tracking						Engineering Team	99.9%	P50<50ms; P99<300ms	ms						docs/92-runbooks/runbook-adhd-finishing-helpers-roadmap.md	1-5	2025-10-02T03:01:42.771957	2025-10-02T03:01:42.771958	
COMP-documentation-to-cre	Documentation to Create/Update	SUB-ARC42-DOCUMENTA		"- [ ] User guide for finishing helpers system
- [ ] API documentation for work item management
- [ ] Troubleshooting guide for common issues
- [ ] Performance tuning guide for administrators"	documentation for work item management						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/92-runbooks/runbook-adhd-finishing-helpers-roadmap.md	1-5	2025-10-02T03:01:42.772145	2025-10-02T03:01:42.772146	performance|api|architecture
COMP-scripts-health-monit	scripts/health_monitor.py			"import time
import requests
import logging
from typing import Dict, Any, List
import voyageai
from pymilvus import connections, utility

class RAGHealthMonitor:
    def __init__(self, config: Dict[str"	"gRPC: connection; _key=config[""voyage_api_key""]); /memory/stats"", timeout=5)"	"collection: s = utility.list_collections(), collection: s_healthy = all(col in collections for col in expected_collections), collection: s"": collections_healthy,"	time, voyageai, Collection, logging, requests				Engineering Team	99.9%	P50<50ms; P99<300ms	ms, latency						docs/92-runbooks/rag/rag-operations-runbook.md	1-148	2025-10-02T03:01:42.779199	2025-10-02T03:01:42.779203	database|api|testing|architecture
COMP-critical-alerts-page	Critical Alerts (Page Immediately)	SUB-7-CRITICAL-RISK		"- Milvus service down
- Voyage API quota exceeded or service unavailable
- Query success rate < 50%
- Query latency p95 > 10 seconds"	quota exceeded or service unavailable						Engineering Team	99.9%	P50<50ms; P99<300ms	p95, latency						docs/92-runbooks/rag/rag-operations-runbook.md	1-5	2025-10-02T03:01:42.782199	2025-10-02T03:01:42.782200	performance|api
COMP-issue-high-query-lat	Issue: High Query Latency	SUB-QUERY-EXISTING-		"**Symptoms**: Query response times > 2 seconds consistently

**Investigation Steps**:
1. Check Milvus query performance:
   ```python
   # Check index status
   from pymilvus import Collection
   coll"	latency; .voyageai.com/v1/rerank \	"collection: .index()), Collection: collection = Collection(""ProjectDocs"")"	Collection	python			Engineering Team	99.9%	P50<50ms; P99<300ms	ms, response time, latency						docs/92-runbooks/rag/rag-operations-runbook.md	1-32	2025-10-02T03:01:42.782858	2025-10-02T03:01:42.782859	performance|api|testing|architecture
COMP-9b09278c	Unnamed Component	SUB-UNNAMED		"---
id: 07-perf-api-rate-limits
title: 07 Perf Api Rate Limits
type: explanation
owner: '@hu3mann'
last_review: '2025-09-26'
next_review: '2025-12-25'
---"	-rate-limits; Rate Limits						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/03-reference/07-perf-api-rate-limits.md	1-8	2025-10-02T03:01:42.786794	2025-10-02T03:01:42.786796	api
COMP-story-g07-perf-cost-	Story G07 — Perf/Cost: API Rate Limits			"As an operator, I want built-in rate limiting and retries, so that integrations are stable and cost-aware.

INVEST: Independent, Negotiable, Valuable, Estimable, Small, Testable."		table: and cost-aware., table: .					Engineering Team	99.9%	P50<50ms; P99<300ms							docs/03-reference/07-perf-api-rate-limits.md	1-5	2025-10-02T03:01:42.786969	2025-10-02T03:01:42.786970	
COMP-primary-tools-always	**Primary Tools (Always Active)**	SUB-2-EXA-RESEARCH-		"1. **Context7** - API documentation and references
   - **Usage:** ALWAYS query before writing any code
   - **Token Cost:** ~100-500 per query
   - **ADHD Benefit:** Reduces uncertainty and API hallu"	documentation and references; hallucinations			Go			Engineering Team	99.9%	P50<50ms; P99<300ms							docs/03-reference/role-tool-mapping-matrix.md	1-25	2025-10-02T03:01:42.791603	2025-10-02T03:01:42.791605	api
COMP-1-core-architecture-	1. Core Architecture Decision	SUB-FOR-TWO-PLANE-A		"**[ADR-0048: ConPort Memory Orchestration Hub Architecture](../90-adr/adr-0048-conport-memory-orchestration-hub.md)**

**Key Components:**
- Multi-backend orchestration (PostgreSQL + ArangoDB + Milvus"	for Claude); (Unified API for Claude)						Engineering Team	99.9%	P50<50ms; P99<300ms	ms, p95, latency				ADR-0048		docs/03-reference/conport-memory-hub-specifications.md	1-18	2025-10-02T03:01:42.799010	2025-10-02T03:01:42.799011	performance|api|architecture
COMP-4-zero-effort-captur	4. Zero-Effort Capture System	SUB-ENHANCED-ROLE-S		"**[ADR-0051: Zero-Effort Memory Capture System](../90-adr/adr-0051-zero-effort-capture.md)**

**Capture Sources:**
- **Git Hooks**: Post-commit analysis for decision extraction
- **Shell Monitoring**:"	keys, secrets, credentials)		)			Hooks**:	Engineering Team	99.9%	P50<50ms; P99<300ms					ADR-0051		docs/03-reference/conport-memory-hub-specifications.md	1-14	2025-10-02T03:01:42.800604	2025-10-02T03:01:42.800606	api|architecture
COMP-data-flow-architectu	Data Flow Architecture	SUB-FOR-TWO-PLANE-A		"```
Developer Activities → Capture Sources → Privacy Filter → Event Processing → Storage Backends → Search Interface → ADHD-Optimized Results

Git Commits ────┐
Shell Commands ─┤
File Changes ───┤ → P"	→ ADHD-Optimized Results					Commits	Engineering Team	99.9%	P50<50ms; P99<300ms							docs/03-reference/conport-memory-hub-specifications.md	1-11	2025-10-02T03:01:42.802241	2025-10-02T03:01:42.802242	
COMP-ed80a26a	Unnamed Component	SUB-UNNAMED		"---
id: 06-a11y-api-docs
title: 06 A11Y Api Docs
type: explanation
owner: '@hu3mann'
last_review: '2025-09-26'
next_review: '2025-12-25'
---"	-docs; Docs						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/03-reference/06-a11y-api-docs.md	1-8	2025-10-02T03:01:42.804636	2025-10-02T03:01:42.804637	api
COMP-story-g06-accessibil	Story G06 — Accessibility: API Docs			"As a user with assistive tech, I want accessible API docs, so that I can navigate specs and examples.

INVEST: Independent, Negotiable, Valuable, Estimable, Small, Testable."	docs, so that I can navigate specs and examples.	table: .					Engineering Team	99.9%	P50<50ms; P99<300ms							docs/03-reference/06-a11y-api-docs.md	1-5	2025-10-02T03:01:42.804805	2025-10-02T03:01:42.804807	api
COMP-dopemux-api-document	Dopemux API Documentation	SUB-RFC-TEMPLATE-DO		Complete API reference for Dopemux Leantime and Task-Master AI integration.	reference for Dopemux Leantime and Task-Master AI integration.						Engineering Team	99.9%	P50<50ms; P99<300ms							docs/03-reference/api.md	1-3	2025-10-02T03:01:42.805211	2025-10-02T03:01:42.805212	api
